Product_ID,Product_Name,Customer_ID,Customer_Name,Customer_Age,Gender,Country,Quantity,Total_Purchase_Amount,Profit_or_Loss,Date_of_Purchase,Mode_of_Purchase,Ratings,Product_Type,Month_of_Purchase,Year_of_Purchase
MNXROJ11,Trousers,2528033,Mia Johnson,40,Other,China,2,2140.67,327.92,16-05-2020,In-Person,9.0,Bottoms,May,2020
QXAA04OO,T-shirt,4704516,Ethan Lee,23,Female,Japan,1,3884.66,678.86,24-10-2022,Online,3.2,Tops,October,2022
97NBGGHN,Tracksuit,4382108,Emma Patel,44,Other,UAE,1,483.4,66.15,04-03-2022,Online,2.9,Bottoms,March,2022
CIRCZ33M,Kurti,5387732,Sophia Sharma,28,Female,Brazil,4,469.96,48.76,23-02-2023,Online,4.1,Dresses,February,2023
QYIYSXZA,Shorts,6889299,Liam Sharma,40,Male,Germany,1,3351.52,904.44,22-03-2021,In-Person,7.5,Bottoms,March,2021
T0N4647A,T-shirt,9088462,Noah Kumar,23,Female,Norway,3,1212.26,1360.55,25-08-2020,In-Person,8.4,Tops,August,2020
7MHHZKWE,Floral Dress,8442928,Lucas Taylor,53,Female,Singapore,2,4551.82,-405.86,05-06-2025,Online,8.2,Dresses,June,2025
Y8WXMM8E,Trousers,3350945,Amelia Brown,27,Female,Brazil,2,4891.9,326.6,12-01-2021,In-Person,7.6,Bottoms,January,2021
EHW7WDLM,Leggings,3360668,Emma Taylor,64,Male,Norway,1,577.1,-3.08,15-06-2021,In-Person,3.9,Bottoms,June,2021
SPACWX41,Chinos,7361186,Ethan Taylor,62,Male,Germany,1,4245.52,1246.89,19-06-2019,In-Person,3.4,Bottoms,June,2019
H4JYJHOD,Jacket,5684306,Amelia Kumar,61,Other,India,5,3008.81,-25.74,21-10-2020,In-Person,4.0,Tops,October,2020
RT6PWT3X,Skirt,1294951,Ethan Taylor,60,Other,UAE,3,2661.63,778.98,08-01-2021,In-Person,7.5,Bottoms,January,2021
W1AY554W,Gown,6000895,Liam Taylor,40,Male,Denmark,3,1378.37,289.39,14-02-2020,In-Person,5.5,Dresses,February,2020
9VUTPIQQ,Kurti,4052074,Mia Sharma,63,Male,UAE,4,281.44,-288.2,15-11-2018,Online,7.7,Dresses,November,2018
P88A2024,Shorts,7022812,Lucas Anderson,28,Male,India,1,3461.03,1161.85,09-09-2025,In-Person,9.3,Bottoms,Unknown,2025
VBEB6P5D,Kurti,3150562,Liam Anderson,47,Female,Switzerland,5,448.65,-172.13,15-11-2025,Online,8.1,Dresses,November,2025
W5CXNJYF,Shirt,2546446,Olivia Anderson,21,Male,China,4,4086.36,18.52,13-08-2020,Online,6.2,Tops,August,2020
03MSMP20,Tank Top,1457027,Lucas Sharma,63,Other,Switzerland,1,2039.74,971.88,17-04-2020,In-Person,8.3,Tops,April,2020
PY5T938Y,Leggings,5916196,Ethan Smith,48,Male,UK,4,3757.23,779.54,24-10-2023,In-Person,7.7,Tops,October,2023
X7L94468,Skirt,4069943,Lucas Johnson,63,Male,Germany,5,1550.45,220.87,20-03-2018,Online,6.8,Bottoms,March,2018
RDP52GLF,Tracksuit,4919475,Amelia Anderson,55,Other,Argentina,2,605.98,644.88,17-10-2018,In-Person,8.3,Bottoms,January,2022
FWW46JFX,Floral Dress,8452880,Liam Sharma,24,Female,Denmark,4,3433.37,-210.17,04-06-2021,In-Person,5.0,Dresses,June,2021
1SDB45KJ,Jeans,2702234,Noah Sharma,34,Female,Singapore,3,2646.83,74.95,19-12-2020,Online,9.2,Bottoms,December,2020
ZFY56PKK,Kurti,1844507,Amelia Lee,61,Other,France,1,2518.34,-163.42,05-12-2023,Online,2.7,Dresses,December,2023
56WJ2RL6,Kurti,5005064,Olivia Kumar,27,Female,South Africa,3,4491.03,977.77,16-09-2024,In-Person,9.8,Dresses,September,2019
BRS8WAO4,Gown,6071723,Liam Lee,44,Female,Brazil,3,1300.01,1457.61,09-02-2025,Online,1.4,Dresses,February,2025
N43O1XXG,Leggings,5822024,Mia Taylor,56,Other,South Africa,5,3288.44,1301.31,12-02-2024,Online,9.2,Bottoms,February,2024
XUWUFQHV,Shorts,6487612,Sophia Sharma,33,Female,South Africa,4,3448.89,1189.55,13-08-2023,In-Person,4.7,Bottoms,August,2023
EQV23E8M,Jeans,5337485,Lucas Smith,26,Male,Sweden,3,4637.13,230.95,26-11-2020,Online,5.5,Bottoms,November,2020
2SIPK1IL,Sweater,8737643,Ethan Smith,55,Female,Argentina,5,1007.44,977.63,20-03-2023,Online,5.5,Tops,March,2023
DTOB1NTL,Gown,81248,Isabella Taylor,58,Female,France,2,2450.31,1741.84,20-02-2019,In-Person,3.4,Dresses,February,2019
55XC6ARN,Crop Top,2983449,Ethan Patel,30,Female,Russia,1,4599.77,1708.69,10-05-2025,Online,2.3,Tops,May,2025
GMQ6ELLK,Jacket,6889391,Aarav Kumar,28,Other,Brazil,4,294.21,639.01,21-01-2023,Online,3.0,Tops,October,2023
K12KMQ4J,Chinos,2995583,Amelia Kumar,40,Male,South Africa,5,4813.48,1699.03,02-04-2019,Online,7.1,Bottoms,April,2019
FOB3HI71,Kurti,643572,Mia Patel,58,Other,Netherlands,3,2791.83,1608.05,11-01-2019,Online,3.8,Dresses,January,2019
MRD563TY,T-shirt,2914239,Emma Kumar,15,Female,Canada,5,1803.25,-386.31,12-09-2025,Online,2.2,Tops,September,2025
497TVNTH,Leggings,4806143,Lucas Wilson,64,Other,Germany,2,3844.83,1169.51,28-06-2021,Online,9.3,Bottoms,April,2019
Y36Y5JQX,Jacket,5967650,Liam Brown,61,Female,Norway,1,2543.0,487.6,03-12-2023,Online,2.9,Tops,December,2023
PVQ2SSGS,Trousers,1503155,Mia Johnson,45,Male,UK,3,1800.48,265.61,12-12-2023,In-Person,2.1,Bottoms,December,2023
UT4DDKD7,Tank Top,9267614,Amelia Brown,34,Other,Denmark,3,799.39,-286.87,21-11-2022,Unknown,8.2,Tops,November,2022
2K5H9SEO,Leggings,9190489,Lucas Wilson,50,Female,Norway,5,4447.35,-420.56,16-02-2024,In-Person,1.5,Bottoms,February,2024
8EOK3XQA,Sweater,7359639,Liam Taylor,45,Male,Argentina,1,2397.82,-366.34,06-05-2019,In-Person,5.5,Tops,May,2019
P3A0USXZ,Tank Top,5693751,Amelia Smith,61,Other,Canada,4,330.61,270.17,01-06-2020,Online,6.3,Tops,June,2020
C276EVUD,Floral Dress,1135320,Noah Johnson,48,Male,France,3,3741.36,155.84,14-08-2019,Online,8.7,Dresses,August,2019
G9FN5KTL,Skirt,5042260,Amelia Brown,33,Female,Mexico,1,322.17,1986.34,10-05-2025,In-Person,10.0,Bottoms,May,2025
C2L0Q8KE,Leggings,1924726,Ethan Wilson,31,Male,Australia,3,2463.91,241.36,23-06-2023,Online,8.6,Tops,June,2023
NN1MTA9V,Overcoat,6785350,Noah Johnson,54,Other,Brazil,5,3543.28,1828.04,17-06-2024,Online,3.8,Tops,June,2024
4ALJ7JB5,Saree,5533872,Isabella Johnson,51,Other,Canada,4,2010.38,122.21,22-11-2020,In-Person,7.7,Dresses,November,2020
QLQKRWW3,Overcoat,7268965,Noah Lee,24,Other,Canada,5,223.98,-279.97,24-10-2024,Online,7.0,Tops,October,2024
EGO6G4RS,Gown,80180,Isabella Taylor,37,Female,Argentina,4,1194.33,61.52,16-01-2020,Online,9.7,Dresses,January,2020
MYZZXIS6,Floral Dress,1759934,Emma Smith,64,Male,Canada,3,209.43,169.29,27-04-2020,Online,7.4,Dresses,April,2020
4184IYTQ,Blazer,8029974,Liam Smith,49,Female,Netherlands,2,2646.83,1469.7,25-08-2021,In-Person,8.1,Tops,August,2021
OE33PGL4,Blazer,4036263,Mia Brown,57,Female,UAE,1,1527.03,592.5,12-02-2022,Online,4.6,Tops,February,2022
0ZLFB34A,Tracksuit,1115394,Aarav Taylor,18,Female,South Africa,1,2933.25,-264.09,08-02-2018,In-Person,4.9,Bottoms,February,2018
