Product_ID,Product_Name,Customer_ID,Customer_Name,Customer_Age,Gender,Country,Quantity,Total_Purchase_Amount,Profit_or_Loss,Date_of_Purchase,Mode_of_Purchase,Ratings,Product_Type,Month_of_Purchase,Year_of_Purchase
MNXROJ11,Trousers,2528033.0,Mia Johnson,40.0,Other,China,2.0,2140.67,327.92,2020-05-16,In-Person,9.0,Bottoms,May,2020.0
QXAA04OO,T-shirt,4704516.0,Ethan Lee,23.0,Female,Japan,1.0,3884.66,678.86,2022-10-24,Online,3.2,Tops,October,2022.0
97NBGGHN,Tracksuit,4382108.0,Emma Patel,44.0,Other,UAE,1.0,483.4,66.15,2022-03-04,Online,2.9,Bottoms,March,2022.0
CIRCZ33M,Kurti,5387732.0,Sophia Sharma,28.0,Female,Brazil,4.0,469.96,48.76,2023-02-23,Online,4.1,Dresses,February,2023.0
N87TG7EB,Overcoat,4513956.0,Amelia Kumar,38.0,Other,Brazil,2.0,4269.45,782.91,,In-Person,1.2,Tops,June,2021.0
QYIYSXZA,Shorts,6889299.0,Liam Sharma,40.0,Male,Germany,1.0,3351.52,904.44,2021-03-22,In-Person,7.5,Bottoms,March,2021.0
T0N4647A,T-shirt,9088462.0,Noah Kumar,23.0,Female,Norway,3.0,1212.26,1360.55,2020-08-25,In-Person,8.4,Tops,August,2020.0
7MHHZKWE,Floral Dress,8442928.0,Lucas Taylor,53.0,Female,Singapore,2.0,4551.82,-405.86,2025-06-05,Online,8.2,Dresses,June,2025.0
Y8WXMM8E,Trousers,3350945.0,Amelia Brown,27.0,Female,Brazil,2.0,4891.9,326.6,2021-01-12,In-Person,7.6,Bottoms,January,2021.0
EHW7WDLM,Leggings,3360668.0,Emma Taylor,64.0,Male,Norway,1.0,577.1,-3.08,2021-06-15,In-Person,3.9,Bottoms,June,2021.0
SPACWX41,Chinos,7361186.0,Ethan Taylor,62.0,Male,Germany,1.0,4245.52,1246.89,2019-06-19,In-Person,3.4,Bottoms,June,2019.0
H4JYJHOD,Jacket,5684306.0,Amelia Kumar,61.0,Other,India,5.0,3008.81,-25.74,2020-10-21,In-Person,4.0,Tops,October,2020.0
RT6PWT3X,Skirt,1294951.0,Ethan Taylor,60.0,Other,UAE,3.0,2661.63,778.98,2021-01-08,In-Person,7.5,Bottoms,January,2021.0
2R9Q7BGU,Crop Top,,Olivia Wilson,18.0,Male,Germany,,1828.88,1557.58,2023-08-08,Online,4.7,Tops,August,2023.0
W1AY554W,Gown,6000895.0,Liam Taylor,40.0,Male,Denmark,,1378.37,289.39,2020-02-14,In-Person,5.5,Dresses,February,2020.0
9VUTPIQQ,Kurti,4052074.0,Mia Sharma,63.0,Male,UAE,4.0,281.44,-288.2,2018-11-15,Online,7.7,Dresses,November,2018.0
P88A2024,Shorts,7022812.0,Lucas Anderson,28.0,Male,India,1.0,3461.03,1161.85,2025-09-09,In-Person,9.3,Bottoms,,2025.0
